,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Compress insn to 32bit insn conversion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,type,,mask,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,,type,,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
,,CR,,0xf003,,,,,,,,,,,func4,,,,Rs1/Rd,,,,,Rs2,,,,,op,,,Register,R,func7,,,,,,,Rs2,,,,,Rs1,,,,,func3,,,Rd,,,,,opcode,,,,,,
,,CI,,0xe003,,,,,,,,,,,func3,,,Im,Rs1/Rd,,,,,Imm,,,,,op,,,Immediate,I,Imm[11:0],,,,,,,,,,,,Rs1,,,,,func3,,,Rd,,,,,opcode,,,,,,
,,CSS,,0xe003,,,,,,,,,,,func3,,,Imm,,,,,,Rs2,,,,,op,,,Stack-relative Store,S,Imm[11:5],,,,,,,Rs2,,,,,Rs1,,,,,func3,,,Imm[4:0],,,,,opcode,,,,,,
,,CIW,,0xe003,,,,,,,,,,,func3,,,Imm,,,,,,,,Rd’,,,op,,,Wide Immadiate,I,Imm[11:0],,,,,,,,,,,,Rs1,,,,,func3,,,Rd,,,,,opcode,,,,,,
,,CL,,0xe003,,,,,,,,,,,func3,,,Imm,,,rs1’,,,Imm,,Rd’,,,op,,,Load,I,Imm[11:0],,,,,,,,,,,,Rs1,,,,,func3,,,Rd,,,,,opcode,,,,,,
,,CS,,0xe003,,,,,,,,,,,func3,,,Imm,,,rs1’,,,Imm,,rs2’,,,op,,,Store,S,Imm[11:5],,,,,,,Rs2,,,,,Rs1,,,,,func3,,,Imm[4:0],,,,,opcode,,,,,,
,,CB,,0xe003,,,,,,,,,,,func3,,,Imm,,,rs1’,,,offset,,,,,op,,,Branch,SB,I12,Imm[10:5],,,,,,Rs2,,,,,Rs1,,,,,func3,,,Imm[4:1],,,,I11,opcode,,,,,,
,,CJ,,0xe003,,,,,,,,,,,func3,,,jump target,,,,,,,,,,,op,,,Jump,UJ,I20,Imm[10:1],,,,,,,,,,I11,Imm[19:12],,,,,,,,Rd,,,,,opcode,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#2,mnemonic,type,mask,opcode,imm,rs2,rs1,rd,func7,func3,opc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
